Boucher, (Jean-Jacques), Histoire du Loir-et-Cher à travers son Conseil Général de 1790 à nos jours, Paris, Ed. Lanore, Sorlot, 1984, 238 p. C 321;;;;;;;;
Auteurs - Titres - Editeurs - Année;cote;Nb ex sup;année entrée ;Provenance;lieu-personnage;mot clé 1;mot clé 2;
Fournier (Henri), Viot (Arthur), Traité de typographie, nouvelle édition entièrement revue et augmentée par Arthur Viot, ancien directeur de l'imprimerie Mame, Paris, librairie Garnier frères, n. d. [1903], 516 p., C 3531;C 3531;;2017;achat 10.17;Tours;Mame;;
Valette (Georges), Basseville (Julien), Typographie. Composition, sixième édition, Paris, Institut national des industries et arts graphiques, 1967, 376 p., C 3530;C 3530;;2017;achat 10.17;méthodologie imprimerie;;;
Bargilliat (Alain), Typographie. Impression, cours de perfectionnement à l'usage des candidats au certificat d'aptitude professionnelle, cinquième édition, Paris, Institut national des industries et arts graphiques, 1978, 429 p., C 3529;C 3529;;2017;achat 10.17;méthodologie imprimerie;;;
[Collectif], Le Centre-Ouest de la France. Encyclopédie régionale illustrée, Poitiers, Libr. Occitania, 1926, 568 p., C 3528;C 3528;;2017;achat 10.17;Touraine;description;;
Livernet (Sylvain), Tours du XVIII° au XX° siècle. La conservation des éléments anciens dans une ville moderne, Lille, université de Lille, [Atelier de reproduction des thèses], s.d.,  2 vol. VIII-599 p., 322 p., C 3527 1-2;C 3527 1-2;;2017;don Leveel;Tours;patrimoine;;
Pigenet (Michel), Les ouvriers du Cher (fin XVIIIe siècle-1914). Travail, espace et conscience, s. l., Institut d'histoire CGT d'histoire sociale. Centre confédéral d'études économiques et sociales de la CGT, 1990, 449 p.,C 3526;C 3526;;2017;achat 10.17;Berry;ouvriers;;
Audin (Pierre), Burland (Jacques),  Découvrir l'Indre-et-Loire, s. l., éd. Horvath, 94 p., C 3525;C 3525;;2017;don médiathèque de Joué-lès-Tours;Touraine;description;;
Souriau (Paul), La faïence de Langeais, ou le destin des Boissimon, gentilshommes angevins, Paris, éd. France-Empire, 1987, 176 p., C 3524;C 3524;;2017;don médiathèque de Joué-lès-Tours;Touraine;céramique;;
[Collectif], Histoire de Sully-sur-Loire, Roanne, éd. Horvath, 1986, 175 p., C 3523;C 3523;;2017;don médiathèque de Joué-lès-Tours;Orléanais;Sully-sur-Loire;;
Terrien (Marie-Pierre), La cité idéale et le château de Richelieu, Colet, éd. Pays et Terroirs, 2006, 159 p., C 3522;C 3522;;2017;don médiathèque de Joué-lès-Tours;Touraine;Richelieu;;
Bosseboeuf (L- A), De l'Indre à l'Indrois, Montrésor, le château, la collégiale et les environs, Paris, Res Universis, 1993, 102 p. [Monographies des Villes et Villages de France, réédition de 1897], C 3521;C 3521;;2017;don médiathèque de Joué-lès-Tours;Touraine;Montrésor;;
La Roque (Louis de), Barthélémy (Edouard de), Catalogue des Gentilshommes de Poitou, Maine, Anjou, Touraine et Berry, Orléanais, Marseille, Jeanne Laffitte, 1982, 55 p. [réédition de Paris, E. Dentu libr., Aug. Aubry libr, 1864], C 3520;C 3520;;2017;don médiathèque de Joué-lès-Tours;Touraine;noblesse;;
Bourgeois (Jean), Métiers d'Hier et d'Aujourd'hui, Tours, NR éd., Tours, 1987, 95 p., C 3519;C 3519;;2017;don médiathèque de Joué-lès-Tours;Touraine;métiers 1900;;
Bardon - Labarrière, La Touraine à Table, Mur de Sologne, Dominique Labarrière, 1983, 302 p., C 3518;C 3518;;2017;don médiathèque de Joué-lès-Tours;Touraine;gastronomie;;
Coulon (Gérard), L'Eau et le Grès, Histoire de la Brenne, Saint-Cyr-Loire, Christian pirot, 1986, 313, p., C 3517;C 3517;;2017;don médiathèque de Joué-lès-Tours;Touraine;Brenne;;
"Beaumont (Charles de), ""Tables des tomes XII à XVI des Bulletins"", BSAT, XVI, 4e trimestre 1908, p. 346-547, C 3516";C 3516;reliure;2017;achat 10.17;SAT;tables;;
Bédoucha (Geneviève), Les liens de l'eau. En Brenne, une société autour de ses étangs, Paris, éd. de la Maison des sciences de l'homme, Versailles, éd. Quæ, 2011, 688 p., cartes, ill.  C 3515;C 3515;;2017;achat 10.17;Touraine;Brenne;;
Edeine (Bernard), Le vieux parlage solognot, Chambray-lès-Tours, CLD, 1983, 264 p., C 3514;C 3514;;2017;achat 09.17;Sologne;langue populaire;;
Thibault (Adrien), Glossaire du Pays blésois, Genève, Slatkine Reprints, 1970, 355 p. [réimp. De Blois et Orléans, 1892] C 3513;C 3513;;2017;achat 09.17;Blésois;langue populaire;;
Gendron (Stéphane), L'origine des noms de lieux d'Indre-et-Loire. Communes et anciennes paroisses, Chemillé-sur-Indrois, éd. Hugues de Chivré, 2012, 301 p., C 3512; C 3512;;2017;achat 09.17;Touraine;toponymie;;
Longnon (Auguste), Les noms de lieux de la France, leur origine, leur signification, leurs transformations, publié par Paul Marichal et Léon Mirot, Paris, Librairie ancienne Honoré Champion,  fasc. , 1 et 2, 1920, 1922, 336 p., C 3511 1-2;C 3511 1-2;;2017;achat 09.17;méthodologie toponymie;;;
Desplaces (Jean-Louis), Pécherat (René), Charon (Pierre), Clavier (Martin), Le florilège de l'eau en Berry. Fontaines sainte. Fontaines à légendes. Fontaines à vertus du département de l'Indre, Buzançais, l'auteur, 3 vol., 1980-1986, 204, 215, 128 p., C 3510 1-2-3;C 3510 1-2-3;;2017;Don Gorry;Berry;folklore;;
[Collectif], Si Saint-Christophe m’était conté… L’histoire d’un village du nord de la Touraine rapportée par ceux qui l’ont vécue, Saint-Christophe-sur-le-Nais, Histoire et patrimoine de Saint-Christophe-sur-le-Nais, 2017, 199 p., C 3509;C 3509;;2017;don Mauclair;Touraine;Saint-Chistophe-sur-le-Nais;;
Aupert (Pierre), Sanxay, un grand sanctuaire rural gallo-romain, Paris, Ministère de la Culture et de la Communication, Imprimerie nationale éd., 1992, 116 p., C 3508;C 3508;;2017;achat 09.17;Poitou;Sanxay;;
"Lattwein (Jean-Noël), L""industrie châtelleraudaise. Cent ans d'histoire, Châtellerault, Centre châtelleraudais d'histoire et d'archives, 2017, 157 p., C 3507";C 3507;;2017;achat 09.17;Poitou;Châtellerrault;;
Favier (Jean), Les Plantagenêts. Origine et destin d'un empire XIe-XIVe siècles, Paris, libr. Arthème Fayard, 2004, 960 p. C 3506;C 3506;;2017;achat 09.17;Touraine;MA ;;
Favier (Jean), Le Roi René, Paris, libr. Arthème Fayard, 2008, 742 p., C 3505;C 3505;;2017;achat 09.17;Anjou;MA;;
Ducluzeau (Robert), La gabelle et la contrebande du sel dans l'Ouest, La Crèche, Geste éd., 2008, 492 p., C 3504;C 3504;;2017;don Pasquier;Touraine;contrebande 18e;;
Guehenno (Annie), L'Epreuve, Paris, éd. Bernard Grasset, 1968, 297 p., C 3503;C 3503;;2017;don Pasquier;Touraine;guerre 39-45;;
[Collectif],  Orléans : Aménagements urbains à la fin du 19e siècle, exposition patrimoniale d'été 2008, Orléans, Service archéologique de la Ville, 2008, 154 p. C 3502;C 3502;;2017;achat 08. 17;Orléans;architecture  19e;;
[Collectif], Orléans : Les mutations urbaines au 18e siècle, exposition patrimoniale d'été 2007, Orléans, Service archéologique de la Ville, 2007, 134 p., C 3501;C 3501;;2017;achat 08. 18;Orléans;architecture  18e;;
[Collectif],  Orléans : Les façades à pans de bois, exposition patrimoniale d'été 2006,  Orléans, Service archéologique de la Ville, 2006, 111 p., C 3500;C 3500;;2017;achat 08. 19;Orléans;architecture  15e;;
Goupille (André), Lamaignère (Elisabeth), De la résistance au retour de la déportation. L'histoire de mon père du 18 juin 1940 au 5 juin 1945, s. l., l'auteur, 2000, 143 p., C 3499;C 3499;;2017;achat 08.17;Touraine ;guerre 39-45;La Haye Résistance;
Véronne (Chantal), La Brenne, histoire et traditions, 2e éd. revue et corrigée, Tours, Gibert-Clarey, 1971, 115 p., pl. h.-t., C 3498;C 3498;;2017;achat 08.17;Touraine;Brenne;;
Laruaz (Jean-Marie), Ambacia, la gauloise. 1 000 objets racontent la ville antique d'Amboise, Chemillé-sur-Dême, ARCHEA, 2017, 131 p., C 3497;C 3497;;2017;achat 08.17;Touraine;Amboise;oppidum;
Caors (Marielle), Le Berry de George Sand. Géographie imaginaire, s. l., l'auteur, 1989, 433 p., C 3496;C 3496;;2017;achat 08.17;Berry;littérature;;
Guilleux (Joseph), Miot (Franck), Meunier (Hugo), et al., L’enceinte romaine du Mans, Le Mans, la Ville, 2015, 93 p., C 3495;C 3495;;2017;achat 08.17;Maine;Le Mans GR;enceinte;
Cordier (Gérard) et al.,  La grotte hallstattienne de la Roche Noire, Mérigny, Mérigny, Association des Amis de Mérigny, 1984, 124 p., C 3494;C 3494;;2017;don Gallet;Berry;troglodyte;protohistoire;
Fischer (J.-C.), Guides géologiques régionaux. Fossiles de France et des régions limitrophes, Paris, Masson, 1980, 443 p., C 3493;C 3493;;2017;achat 08.17;Géologie;fossiles;;
Philippon de la Madelaine (V.), L'Orléanais. Histoire des ducs et du duché d'Orléans, comprenant l'histoire de la Beauce, du pays chartrain, du Blésois, du Vendômois, du Gâtinais, du Perche, et de ce qui constituait l'ancienne généralité d'Orléans, Paris,  Mallet et Cie, 1845, XCX-475 p. C 3492;C 3492;;2017;achat 08.17;Orléanais;histoire;;
[Anonyme], Guide du livre ancien et des libraires membres du Syndicat national de la librairie ancienne et moderne, Paris, Syndicat national de la librairie ancienne et moderne, 2002, 94 p., C 32491;C 3491;;2017;achat 08.18;méthodologie bibliographie;librairies anciens;;
Gourcy (Sophie de), Le tombeau des ducs de Bretagne. Un miroir des princes sculpté, Paris, Beauchesne éd., 2015, 128 p., C 3490;C 3490;;2017;achat Pasquier;Nantes;tombeau ducs Bretagne;;
[Collectif], Raconte-moi Orbigny. Au fil du temps, un village de Touraine et ses traditions, Orbigny, Association Raconte-moi Orbigny, 2013, 191 p., C 3489;C 3489;;2017;don Thibault;Touraine;Orbigny;;
Briais (Bernard), Découvrir la Touraine. La vallée de l'Indre, Chambray-lès-Tours, CLD, 1980, 205 p., C 3488;C 3488;;2017;don Thibault;Touraine;vallé Indre;;
Colle (Robert), Sorciers, sourciers et guérisseurs en Aunis et Saintonge, La Rochelle, éd. Rupella, 1979, 389 p., C 3487;C 3487;;2017;achat 08.17;ethnographie;sorcellerie;;
Lemesle (Michel), L'Anjou des années 1940, Cholet, Les éditions du Choletais, 1974, 217 p., C 3486;C 3486;;2017;don Pasquier;Anjou;1939-1940;;
Hérault  (Marie), Edgard-Rosa (Patrick), Troglos, habitat et art de vivre, Turquant, L'apart éd., 2011, 269 p., C 3485; C 3485;;2017;achat 07.17;Anjou;troglodytes;;
[Collectif], Livre et société dans la France du XVIIIe siècle, Paris et La Haye, Mouton, 1965, 238 p., C 3484;C 3484;;2017;achat 07.17;histoire;sociétés savantes;;
Triolet (Jérôme et Laurent), Les villes souterraines de Cappadoce, Torcy, DMI éd., 1993, 110 p., C 3483;C 3483;;2017;achat 07.17;archéologie;troglodytes;;
Doyon (Georges), Hubrecht (Robert), L'architecture rurale et bourgeoise en France, Paris, Vincent, Fréal et Cie, 1945, 434 p., C 3482;C 3482;;2017;Achat 07.17;Architecture rurale;agriculture;;
Bernard (Daniel), Coureux et gens d'étrange en Berry. Essai sur l'itinérance dans une région du Centre de la France, s. l., l'auteur, 1984, 311 p. C 3481;C 3481;;2017;achat 06.17;Berry, Brenne;gens du voyage;;
Combessie (Jean-Clause), La méthode en sociologie, Paris, La Découverte, 2007, 124 p., C 4980;C 3480;;2017;achat 06.17;méthodologie sociologie;;;
Frémiot (Georges), Le canton dans l'administration française. Thèse pour le Doctorat [faculté de droit de Nancy], Varangéville-Saint-Nicolas, impr. V. Arsant, 1911, 179 p., C 3479;C 3479;;2017;"achat 06;17";histoire;canton;;
Guignard (Romain), Vatan des origines à nos jours. Aperçu des chroniques locales, Issoudun H. Gaignault et fils éd., 1944, 173 p., C 3478;C 3478;;2017;achat 06.17;Berry;Vatan;;
Botella (Louis), « André Collas », in Goergen (Marie-Louise, dir.), Cheminots et militants  : un siècle de syndicalisme ferroviaire. Collection Jean Maitron. Dictionnaire biographique du mouvement ouvrier français, Paris, Les éditions de l'Atelier, 2003, 429 p., C 3477;C 3477;;2017;achat 06.17;Touraine;syndicalisme;;
Croubois (Claude), Cet honorable Monsieur Simon, s. l., éd. Jean-Michel Bordessoules, 2007, 146 p., C 3476;C 3476;;2017;achat 06.17;Touraine;guerre 39-45;;
Dupont (Paul), Dictionnaire municipal ou manuel des nouveaux maires […], par M. de Puibusque, 6e éd., Paris, Imprimerie et librairie administratives, 1865, 1002 p., C 3475;C 3475;;2017;achat 05.17;manuel;droit municipal;;
Jourdanne (G.), Histoire du Félibrige (1845-1896), s. l., Lacour éd. 2000, 320 p. (rééd. Avignon, Roumanille libr.èéd., 1897), C 3474;C 3474;;2017;achat 05.17;histoire;littérature;;
Charlier (Philippe), Médecin des morts. Récits de paléopathologie, Paris, Fayard, 2006, 389 p., C 3473;C 3473;;2017;achat 05.17;Touraine;Loches Chinon;Agnès Sorel Jeanne-d'Arc;
Le Goff (Jean-Pierre), La fin du Village, Paris, Gallimard, 2012, 577 p., C 3472;C 3472;;2017;achat 05.18;histoire;village 20e;;
Demerson (Guy), L'esthétique de Rabelais, Paris, SEDES, 1996, 322 p., C 3471;C 3471;;2017;achat 05.17;Rabelais;littérature;;
Anati (Emmanuel), L'odysée des premiers hommes en Europe, Paris, Librairie Arthème Fayard, 2007, 391 p., C 3470;C 3470;;2017;don Jadeau;archéologie;Préhistoire;;
[Collectif], Académie des sciences arts et belles-lettres de Touraine, Dictionnaire des scientifiques de Touraine, Tours, Presses universitaires François-Rabelais, 2017, 414 p., C 3469;C 3469;;2017;don PUFR;Touraine;biographie;;
Goubert (Pierre), Louis XIV et vingt millions de Français. Nouvelle édition augmentée,  Paris, libr. Fayard, 1991, 348 p. C 3468;C 3468;;2017;achat 05.17;histoire;France 17e;;
Delcour-Vlaeminck (Marianne), Pion (Constantin), Simon-Hiernard (Simon), Le R. P. Camille de la Croix, un Touraisien archéologue en Poitou. Exposition créée au musée d'Archéologie de Tournai (Belgique), du 15 octobre 2016 au 17 avril 2017,  Tournai, Musée d'archéologie, 2017, 136 p., C 3467;C 3467;;2017;achat 04.17;Poitou;archéologie;Yzeures-sur-Vienne;
[Collectif], Annuaire-Arrault. Tours et Touraine, 1909, Tours, impr. E. Arrault et Cie, 1909, 1313 p.  C 3466;C 3466;;2017;achat 04.17.;Touraine;annuaire 1909;;
[Collectif], La sculpture rupestre en France (de la Préhistoire à nos jours). Actes du colloque de Brantôme, 14 août 1988, Périgueux, Société historique et archéologique du Pérogord, supplément au Bulletin, CXVI, 1989, 202 p., C 3465;C 3465;;2017;achat 04.17;archéologie;sculpture rupestre;Anjou, souterrains;
[Collectif], Pour une histoire de l'archéologie XVIIIe siècle - 1945. Hommage de ses collègues  amis à Eve Gran-Aymerich, Bordeaux,n Ausonius, 2015, 499 p., C 3464;C 3464;;2017;achat 03.17.;histoire;archéologie;;
Endrei (Walter), L’évolution des technique du filage et du tissage du Moeyen Âge à la Révolution industrielle, Paris, EPHE, La Haye, Mouton, 1968, 178 p., C 3463;C 3463;;2017;achat 03.17.;histoire;textile;;
Pérouse de Montclos (Jean-Marie, dir.), Les guides du patrimoine. Architectures en région Centre : Val de Loire, Beauce, Sologne, Berry, Touraine, Paris, Hachette, Orléans, Conseil régional du Centre, 1988, 711 p., cartes h.-t. C 3462;C 3462;;2017;achat 03.17.;Touraine;patrimoine;;
Varagnac (André), Civilisation traditionnelle et genres de vie, Paris, éd. Albin Michel, 1948, 402 p., C 3461;C 4361;;2017;achat 03.17.;histoire;civilisation traditionnelle;;
Lapaire (Hugues), Le pays berrichon, 1908, s. l., Les éditions du Bastion, 2003, 117 p., C 3460;C 3460;;2017;achat 03.17.;Berry;folklore;;
Proust (Jean-Claude), Lorain (Jean-Marie), Découverte géologique de la région Centre. Val de Loire, Touraine, Sologne, Beauce, Berry, Orléans, éd. Du BRGM, 1989, 80 p., C 3459;C 3459;;2017;achat 03.17.;Touraine;géologie;;
Arnoult (J.), 1789. Doléances et vie rurale, Vendôme, libr. Libraidisque, 1984, 2 vol., 174 p., C 3458 1-2;C 3458 1-2;;2017;achat 03.17.;Vendômois;Révolution 1789;;
Brunet (Frantz), Dictionnaire du parler Bourbonnais et des régions voisines, Cournon d'Auvergne, De Borée, 1993, L-258 p., C 3457;C 3457;;2017;achat 03.17.;Bourbonnais;parler;;
Trémault (Auguste de), La communauté d'habitants et l'échevinage de la ville de Vendôme. Histoire municipale de Vendôme avant 1789, Vendôme, impr. F. Empaytaz, 1904, 196 p., C 3456;C 3456;;2017;achat 03.17.;Vendôme;municipalité avant 1789;;
Girard (Francisque), Les meubles bressans. L'art rustique et la décoration d'intérieur, 7e éd., Bourg-en-Bresse, établissement Francisque Girard, 1933, 205 p., C 3455;C 3455;;2017;achat 03.17.;histoire de l'art;mobilier Bresse;;
Arrault (Albert), La Touraine de Balzac, Tours, Arrault et Cie, 1943, 223 p., C 3454;C 3454;;2017;don Plouzennec;Balzac;Touraine;;
[Collectif], Entre Barcelone et Montpellier. Pavements et cheminées de faïences des châteaux de Méze XVIIe-XVIIIe siècles, Montpellier, DRAC Languedoc-Roussillon, 2013, 79 p., C 3453;C 3453;;2017;don Irlandes;histoire de l'art;céramique;;
[Collectif], L'ancienne manufacture royale de draps de La Trivalle à Carcassonne, Montpellier, DRAC Languedoc-Roussillon, 2014, 87 p., C 3452;C 3452;;;don Irlandes;histoire;textile;;
[Collectif], Le monde en perspective. Vues et récréations d'optique au siècle des Lumières. Les collections montpelliéraines de vues d'optique au château de Flauguergues, Montpellier, DRAC Languedoc-Roussillon, 2014, 79 p., C 3451;C 3451;;2017;don Irlandes;histoire de l'art;vues d'optique;;
Clier (Josette), Comte (Yvon), François (Michèle), Monuments en mémoire. Regards sur le patrimoine bâti protégé au titre des Monuments historiques en Languedoc-Roussillon, Montpellier, DRAC Languedoc-Roussillon, 2014, 87 p.,C 3450;C 3450;;2017;don Irlandes;histoire de l'art;patrimoine protégé;;
Palouzié (Hélène), Monuments en mémoire. Regards sur l'objet Monuments historique en Languedoc-Roussillon. Œuvres d'art, décors et ensembles historiques, Montpellier, DRAC Languedoc-Roussillon, 2013, 79 p., C 3449;C 3449;;2017;don Irlandes;histoire de l'art;patrimoine protégé;;
Bouthier (Alain), Archéologie fluviale de la Loire et de ses affluents, table ronde du 9 février 1996, Cosne-sur-Loire, Nièvre, Brinon-sur-Sauldre, éd. Grandvaux, 1998, 119 p., C 3448;C 3448;;2017;don Jautrou;Loire;archéologie;;
Martin-Tiffeneau (Mathurin), Sainte-Maure-de-Touraine. Des origines à 1900, avec quelques ajouts ultérieurs. Rédaction et mise en page Bernard DANQUIGNY, sous le patronage des Amis du Patrimoine de Sainte-Maure, s. l., éd. Bernard Danquigny, 2017, 620 p., C 3447;C 3447;;2017;don Danquigny;Touraine;Sainte-Maure-de-Touraine;;
Lépinaist (Henri de), Table des Bulletins et Mémoires de la Société archéologique de Touraine de 1864 à 1900, BSAT, XLII, 1901, 159 p., C 3446;C 3446;;2017;don Huin;SAT;Table;;
"Collas (Rolande), Les avancées techniques dans les métiers de la soie ; l’exemple de Tours : XVIe-XVIIe siècles, Tours, l’auteur, 2016 (tirage : Thebookedition.com), 127 p., C 3445"; C 3445;;2017;achat 02.17;Tours;soie;;
